B,C,D,G,K,M,P,S,W,
,hart ,hart ,hart ,hart ,hart ,hart ,alsô ,hart ,
,wît ,wît ,wît ,wît ,wît ,wît ,wît ,wît ,
v_61 ,v_61 ,v_61 ,v_61 ,v_61 ,v_61 ,v_61 ,v_61 ,v_61 ,
,von ,von ,von ,von ,von ,von ,von ,von ,
,süezer ,süezer ,süezer ,süezer ,süezer ,süezer ,süezer ,süezer ,
,rede ,rede ,rede ,rede ,rede ,rede ,rede ,rede ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,er ,er ,er ,er ,er ,er ,er ,er ,
,,,,,da ,,,,
,laz ,laz ,laz ,laz ,laz ,laz ,laz ,laz ,
v_62 ,v_62 ,v_62 ,v_62 ,v_62 ,v_62 ,v_62 ,v_62 ,v_62 ,
,,nun ,und ,und ,,und ,nun ,,
,dô ,da ,da ,dô ,dô ,dô ,,dô ,
,er ,er ,er ,er ,er ,er ,er ,er ,
,alsô ,,alsus ,alsus ,alsus ,alsus ,alsô ,alsus ,
,gesezen ,gesezen ,inne ,eine ,gesezen ,eine ,gesezen ,eine ,
,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
v_63 ,v_63 ,v_63 ,v_63 ,v_63 ,v_63 ,v_63 ,v_63 ,v_63 ,
,dô ,da ,dô ,dô ,dô ,dô ,dô ,dô ,
,kam ,kam ,kam ,kam ,kam ,kam ,kam ,kam ,
,dort ,,,,,,,,
,her ,,,,,,,,
,gegangen ,,,,,,,,
,gegangen ,gegangen ,geslîchen ,geslîchen ,gegangen ,geslîchen ,gegangen ,geslîchen ,
,dort ,dort ,dort ,dort ,dort ,dort ,dort ,dort ,
,her ,her ,her ,her ,her ,her ,her ,her ,
v_64 ,v_64 ,v_64 ,v_64 ,v_64 ,v_64 ,v_64 ,v_64 ,v_64 ,
,ein ,ein ,ein ,ein ,ein ,ein ,ein ,ein ,
,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,
,nach ,nach ,nach ,nach ,nach ,nach ,nach ,nach ,
,sînes ,sînes ,sînes ,sînes ,sînes ,sînes ,sînes ,sînes ,
,herzen ,herzen ,herzen ,herzen ,herzen ,herzen ,herzen ,herzen ,
,ger ,ger ,ger ,ger ,ger ,ger ,ger ,ger ,
v_65 ,v_65 ,v_65 ,v_65 ,v_65 ,v_65 ,v_65 ,v_65 ,v_65 ,
,,zuo ,zuo ,zuo ,zuo ,zuo ,zuo ,zuo ,
,,wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,
,,wol ,wol ,wol ,wol ,wol ,wol ,wol ,
,,geprüevet ,gezieret ,gezieret ,geprüevet ,gezieret ,geprüevet ,gezieret ,
,,gar ,gar ,gar ,dar ,gar ,dar ,gar ,
v_66 ,v_66 ,v_66 ,v_66 ,v_66 ,v_66 ,v_66 ,v_66 ,v_66 ,
,und ,und ,und ,und ,und ,und ,und ,und ,
,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,
,minneclich ,minneclich ,minneclich ,minneclich ,minneclich ,minneclich ,minnecliche ,wunneclich ,
,gevar ,gevar ,gevar ,gevar ,gevar ,gevar ,gevar ,gevar ,
v_67 ,v_67 ,v_67 ,v_67 ,v_67 ,v_67 ,v_67 ,v_67 ,v_67 ,
,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,man ,man ,man ,man ,man ,man ,man ,man ,
,nie ,nie ,nie ,nie ,nie ,nie ,nie ,,
,schoener ,schoener ,schoener ,,schoener ,,,schoener ,
,vrouwen ,wîp ,wîp ,,wîp ,,wîp ,nie ,
,,,,,,,sô ,,
,,,,,,,schon ,,
,sach ,gesach ,gesach ,gesach ,gesach ,gesach ,gesach ,gesach ,
v_68 ,v_68 ,v_68 ,v_68 ,v_68 ,v_68 ,v_68 ,v_68 ,v_68 ,
,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
,schoen ,schoene ,schoene ,schoene ,schoene ,schoene ,schoene ,schoen ,
,vollicklichen ,villiclichen ,volleclichen ,volleclichen ,volleclichen ,volleclichen ,vollecliche ,volleclichen ,
,brach ,brach ,brach ,brach ,brach ,brach ,brach ,brach ,
v_69 ,v_69 ,v_69 ,v_69 ,v_69 ,v_69 ,v_69 ,v_69 ,v_69 ,
,vür ,vür ,vor ,vür ,vür ,vür ,vür ,vür ,
,alle ,alle ,allen ,alle ,alle ,alle ,alle ,alle ,
,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,vrouwen ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,hie ,nun ,nun ,nun ,nun ,nun ,nun ,nun ,
,sint ,sint ,sint ,sint ,sint ,sint ,sint ,sint ,
v_70 ,v_70 ,v_70 ,v_70 ,v_70 ,v_70 ,v_70 ,v_70 ,v_70 ,
,,,,,ein ,,,,
,sô ,sô ,sô ,sô ,sô ,sô ,sô ,sô ,
,reht ,rechte ,rechte ,reht ,reht ,reht ,rechte ,reht ,
,minneclichez ,minneclichez ,minneclichez ,minneclichez ,minneclichez ,minneclichez ,minneclichez ,minneclichez ,
,kint ,kint ,kint ,kint ,kint ,kint ,kint ,kint ,
v_71 ,v_71 ,v_71 ,v_71 ,v_71 ,v_71 ,v_71 ,v_71 ,v_71 ,
von ,von ,von ,ûz ,ûz ,von ,ûz ,von ,ûſ ,
wîbes ,wîbes ,wîbes ,wîbes ,wîbes ,wîbes ,wîbes ,wîbes ,wîbes ,
bruste ,brust ,brusten ,brusten ,brusten ,brusten ,brustes ,bruste ,brusten ,
nie ,nie ,nie ,nie ,nie ,nie ,nie ,nie ,nie ,
geslouf ,gevloz ,gelouf ,engeslouf ,geslouf ,geslouf ,geslouf ,geslouf ,geslouf ,
v_72 ,v_72 ,v_72 ,v_72 ,v_72 ,v_72 ,v_72 ,v_72 ,v_72 ,
ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
spreche ,waene ,spreche ,sprech ,spreche ,spreche ,spreche ,spreche ,spreche ,
,wol ,,,,,,,,
daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,ir ,,,,,,,,
,genoz ,,,,,,,,
,v_73 ,,,,,,,,
,wurd ,,,ouch ,,ouch ,,ouch ,
ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,
mînen ,erden ,mînen ,mînen ,mînen ,mînen ,mînen ,mînen ,mînen ,
touf ,kein ,touf ,touf ,touf ,touf ,touf ,touf ,touf ,
v_73 ,nie ,v_73 ,v_73 ,v_73 ,v_73 ,v_73 ,v_73 ,v_73 ,
v_74 ,v_74 ,v_74 ,v_74 ,v_74 ,v_74 ,v_74 ,v_74 ,v_74 ,
,daz ,,,,,,,,
,buoch ,,,,,,,,
,gicht ,,,,,,,,
,der ,,,,,,,,
,warheit ,,,,,,,,
,hie ,,,,,,,,
v_75 ,v_75 ,v_75 ,v_75 ,v_75 ,v_75 ,v_75 ,v_75 ,v_75 ,
daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,
noch ,,noch ,,noch ,noch ,noch ,noch ,noch ,
verrer ,verre ,verrer ,verrer ,verrer ,verrer ,verrer ,verre ,verre ,
schoener ,schoener ,schoener ,schoener ,schoene ,schoener ,schoene ,schoener ,schoener ,
waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
v_76 ,v_76 ,v_76 ,v_76 ,v_76 ,v_76 ,v_76 ,v_76 ,v_76 ,
denne ,dann ,dann ,denn ,danne ,danne ,danne ,denne ,denne ,
,ver ,,vrouwe ,,,,vrouwe ,,
Venus ,Venus ,Venus ,Venus ,Venus ,Venus ,Venus ,Venus ,Venus ,
oder ,und ,und ,oder ,oder ,oder ,oder ,und ,oder ,
vrouwe ,,,Vrouwe ,,vrouwe ,,vrouwe ,,
Palas ,Palas ,Palas ,Palas ,Palas ,Palas ,Palas ,Palas ,Palas ,
v_77 ,v_77 ,v_77 ,v_77 ,v_77 ,v_77 ,v_77 ,v_77 ,v_77 ,
unde ,und ,und ,oder ,oder ,und ,oder ,und ,oder ,
alle ,alle ,alle ,alle ,alle ,alle ,alle ,alle ,alle ,
die ,die ,die ,die ,,die ,,die ,,
gotinne ,gotinne ,gotinne ,gotinne ,gotinne ,gotinne ,gotinne ,gotinne ,gotinne ,
v_78 ,v_78 ,v_78 ,v_78 ,v_78 ,v_78 ,v_78 ,v_78 ,v_78 ,
die ,die ,die ,die ,die ,die ,die ,die ,die ,
willent ,willent ,willent ,ie ,willent ,willen ,willent ,willent ,willen ,
phlagent ,phlagen ,phlagen ,gephlagen ,phflagen ,phlagen ,phflagen ,phflagen ,phlagen ,
,,,der ,,der ,,,,
minne ,minne ,minne ,minne ,minne ,minne ,minne ,minne ,minne ,
v_79 ,v_79 ,v_79 ,v_79 ,v_79 ,v_79 ,v_79 ,v_79 ,v_79 ,
ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
antlütze ,antlütze ,antlütze ,antlütze ,antlütze ,antlütze ,antlütze ,antlütze ,antlütze ,
und ,und ,und ,und ,und ,und ,und ,und ,und ,
,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
varwe ,varwe ,varwe ,varwe ,varwe ,varwe ,varwe ,varwe ,varwe ,
v_80 ,v_80 ,v_80 ,v_80 ,v_80 ,v_80 ,v_80 ,v_80 ,v_80 ,
diu ,die ,die ,die ,die ,diu ,die ,die ,die ,
warent ,waren ,warent ,waren ,waren ,waren ,waren ,warent ,waren ,
beide ,beide ,beide ,beide ,beide ,beide ,beide ,beide ,beide ,
garwe ,garwe ,garwe ,garwe ,garwe ,garwe ,garwe ,garwe ,garwe ,
v_81 ,v_81 ,v_81 ,v_81 ,v_81 ,v_81 ,v_81 ,v_81 ,v_81 ,
erliuhtet ,durchliuhtec ,durchliuhtec ,durchliuhtec ,durchliuhtec ,erliuhtet ,durchliuhtec ,durchliuhtec ,durchliuhtec ,
als ,als ,als ,alsô ,als ,als ,als ,als ,als ,
ein ,ein ,ein ,ein ,ein ,ein ,ein ,ein ,ein ,
spiegelîn ,spiegelîn ,spiegelîn ,spiegelîn ,spiegelîn ,spiegelîn ,spiegelîn ,spiegelîn ,spiegelîn ,
v_82 ,v_82 ,v_82 ,v_82 ,v_82 ,v_82 ,v_82 ,v_82 ,v_82 ,
ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
schoene ,liechter ,schoene ,varwe ,varwe ,schoene ,varwe ,schoene ,varwe ,
gap ,,gap ,gap ,gap ,gap ,gap ,gap ,gap ,
sô ,,sô ,sô ,sô ,sô ,sô ,sô ,sô ,
liechten ,wunnenbernder ,liechten ,liechte ,liechten ,liechten ,liechten ,liechten ,liechten ,
schîn ,schîn ,schîn ,schîn ,schîn ,schîn ,schîn ,schîn ,schîn ,
v_83 ,v_83 ,v_83 ,v_83 ,v_83 ,v_83 ,v_83 ,v_83 ,v_83 ,
unde ,,und ,und ,und ,und ,und ,und ,und ,
,,,,,,,ouch ,,
alsô ,,alsô ,alsô ,alsô ,alsô ,alsô ,sô ,alsô ,
wunneclichen ,,wunneclichen ,minneclichen ,minneclichen ,wunneclichen ,minneclichen ,wunneclichen ,minneclichen ,
glast ,,glast ,glast ,glast ,glast ,glast ,glast ,glast ,
v_84 ,v_84 ,v_84 ,v_84 ,v_84 ,v_84 ,v_84 ,v_84 ,v_84 ,
daz ,daz ,daz ,daz ,dô ,daz ,da ,daz ,dô ,
der ,der ,der ,der ,der ,der ,der ,der ,der ,
selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,selbe ,
palast ,palast ,palast ,palast ,palast ,palast ,palast ,palast ,palast ,
v_85 ,v_85 ,v_85 ,v_85 ,v_85 ,v_85 ,v_85 ,v_85 ,v_85 ,
von ,von ,von ,von ,von ,von ,von ,von ,von ,
ir ,iren ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
lîp ,herzen ,lîp ,schoene ,schoene ,lîp ,schoene ,lîp ,schoene ,
erliuhtet ,erliuhtet ,erliuhtet ,erliuhtet ,erliuhtet ,erliuhtet ,erliuhtet ,erliuhtet ,erliuhtet ,
wart ,waz ,wart ,wart ,wart ,wart ,wart ,wart ,wart ,
v_86 ,v_86 ,v_86 ,v_86 ,v_86 ,v_86 ,v_86 ,v_86 ,v_86 ,
der ,der ,der ,der ,der ,der ,der ,der ,der ,
wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,wunsch ,
,wart ,,der ,der ,,der ,der ,,
enhaette ,dô ,haette ,haette ,haette ,haette ,haette ,enhaette ,haette ,
niht ,niht ,niht ,niht ,niht ,niht ,niht ,niht ,niht ,
gespart ,gespart ,gespart ,gespart ,gespart ,gespart ,gespart ,gespart ,gespart ,
v_87 ,v_87 ,v_87 ,v_87 ,v_87 ,v_87 ,v_87 ,v_87 ,v_87 ,
an ,an ,an ,an ,an ,an ,an ,an ,an ,
ir ,ir ,,ir ,ir ,ir ,ir ,ir ,ir ,
die ,der ,,die ,die ,die ,die ,die ,die ,
sînen ,sîne ,sîner ,sînen ,sînen ,sînen ,sînen ,sînen ,sînen ,
grôzten ,,,,,grôzten ,,besten ,,
kraft ,meisterschaft ,meisterschaft ,meisterschaft ,meisterschaft ,kraft ,meisterschaft ,kraft ,meisterschaft ,
v_88 ,v_88 ,v_88 ,v_88 ,v_88 ,v_88 ,v_88 ,v_88 ,v_88 ,
er ,er ,er ,er ,er ,er ,er ,er ,er ,
hatte ,haette ,hette ,hette ,hette ,hette ,hette ,hette ,hette ,
sîne ,sîn ,sîn ,an ,sîne ,sîne ,sîne ,sîne ,sîn ,
,,,ir ,,,,,,
,,,die ,,,,,,
,beste ,besten ,besten ,beste ,,beste ,,beste ,
meisterschaft ,kraft ,kraft ,kraft ,kraft ,meisterschaft ,kraft ,meisterschaft ,kraft ,
v_89 ,v_89 ,v_89 ,v_89 ,v_89 ,v_89 ,v_89 ,v_89 ,v_89 ,
mit ,mit ,mit ,mit ,mit ,mit ,mit ,mit ,mit ,
ganzen ,hôhen ,hôhem ,ganzem ,ganzem ,ganzem ,ganzem ,hôhem ,ganzem ,
vlîz ,vlîs ,vlîz ,vlîz ,vlîz ,vlîz ,vlîz ,vlîz ,vlîz ,
an ,an ,an ,an ,an ,an ,an ,an ,an ,
sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,
geleit ,geleit ,geleit ,geleit ,geleit ,geleit ,geleit ,geleit ,geleit ,
v_90 ,v_90 ,v_90 ,v_90 ,v_90 ,v_90 ,v_90 ,v_90 ,v_90 ,
swaz ,waz ,waz ,waz ,swaz ,swaz ,swaz ,swaz ,swaz ,
man ,man ,man ,man ,man ,man ,man ,man ,man ,
von ,von ,von ,von ,von ,von ,von ,von ,von ,
schoenen ,schoen ,hôhen ,schoenen ,schoenen ,schoenen ,schoenen ,schoenen ,schoenen ,
,vrouwen ,vrouwen ,wîbe ,wîben ,wîben ,wîben ,vrouwen ,wîben ,
sît ,sît ,sît ,sît ,sît ,sît ,sît ,sît ,sît ,
v_91 ,v_91 ,v_91 ,v_91 ,v_91 ,v_91 ,v_91 ,v_91 ,v_91 ,
der ,der ,der ,der ,der ,der ,der ,der ,der ,
übergulde ,übergulde ,übergulde ,übergulde ,übergulde ,übergulde ,übergulde ,übergulde ,übergulde ,
waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,
v_92 ,v_92 ,v_92 ,v_92 ,v_92 ,v_92 ,v_92 ,v_92 ,v_92 ,
ez ,ez ,ez ,ez ,ez ,ez ,ez ,ez ,er ,
wart ,wart ,wart ,enwart ,wart ,wart ,wart ,wart ,wart ,
nie ,nie ,nie ,nie ,nie ,nie ,nie ,nie ,nie ,
minneclicher ,wunneclicher ,minneclicher ,minneclicher ,minneclicher ,minneclicher ,minneclicher ,minneclicher ,minneclicher ,
wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,wîp ,
v_93 ,v_93 ,v_93 ,v_93 ,v_93 ,v_93 ,v_93 ,v_93 ,v_93 ,
beschouwet ,beschouwet ,beschouwet ,beschouwet ,beschouwet ,gesehen ,beschouwet ,beschouwet ,beschouwet ,
ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,
der ,der ,der ,der ,der ,der ,der ,der ,der ,
erde ,erden ,erde ,erden ,erde ,erde ,erde ,erde ,erde ,
v_94 ,v_94 ,v_94 ,v_94 ,v_94 ,v_94 ,v_94 ,v_94 ,v_94 ,
ouch ,ouch ,ouch ,ouch ,ouch ,ouch ,ouch ,ouch ,ouch ,
waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
nach ,nach ,nach ,in ,in ,nah ,in ,nach ,in ,
vollem ,vollen ,vollem ,hôhen ,hôhem ,vollem ,hôhem ,vollen ,hôhem ,
werde ,werden ,werd ,werden ,werde ,werde ,werde ,werde ,werde ,
v_95 ,v_95 ,v_95 ,v_95 ,v_95 ,v_95 ,v_95 ,v_95 ,v_95 ,
ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
lîp ,,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,
gekleidet ,bekleidet ,bekleidet ,gekleidet ,gekleidet ,gekleidet ,bekleidet ,bekleidet ,gekleidet ,
,alsô ,,,,,,,,
schoene ,schoen ,schoen ,schoene ,schoene ,schoene ,schoene ,schoene ,schoene ,
v_96 ,v_96 ,v_96 ,v_96 ,v_96 ,v_96 ,v_96 ,v_96 ,v_96 ,
diu ,die ,die ,die ,die ,diu ,die ,diu ,die ,
kleider ,kleider ,kleider ,kleider ,kleider ,kleider ,kleider ,kleider ,kleider ,
und ,und ,und ,und ,und ,und ,und ,und ,und ,
diu ,die ,die ,die ,die ,diu ,die ,diu ,die ,
krône ,krôn ,krôn ,krône ,krône ,krône ,krône ,krône ,krône ,
v_97 ,v_97 ,v_97 ,v_97 ,v_97 ,v_97 ,v_97 ,v_97 ,v_97 ,
,die ,,die ,die ,die ,die ,die ,die ,
diu ,,diu ,,,diu ,,diu ,,
,die ,die ,die ,die ,,die ,,die ,
schoene ,selbe ,selbe ,selbe ,selbe ,schoene ,selbe ,selbe ,selbe ,
vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,
kluoc ,kluoc ,kluoc ,kluoc ,kluoc ,kluoc ,kluoc ,kluoc ,kluoc ,
v_98 ,v_98 ,v_98 ,v_98 ,v_98 ,v_98 ,v_98 ,v_98 ,v_98 ,
ûf ,,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,
und ,ouch ,und ,und ,und ,und ,und ,und ,und ,
an ,an ,an ,an ,an ,an ,an ,an ,an ,
ir ,iren ,ir ,irem ,ir ,ir ,ir ,ir ,ir ,
lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,
truoc ,truoc ,truoc ,truoc ,truoc ,truoc ,truoc ,truoc ,truoc ,
v_99 ,v_99 ,v_99 ,v_99 ,v_99 ,v_99 ,v_99 ,v_99 ,v_99 ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,waren ,waren ,waren ,waren ,waren ,waren ,waren ,waren ,
,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,alsô ,
,rîch ,rîche ,rîche ,rîche ,rîche ,rîche ,rîche ,rîche ,
v_100 ,v_100 ,v_100 ,v_100 ,v_100 ,v_100 ,v_100 ,v_100 ,v_100 ,
,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,
,,,,,halt ,,,,
,sicherlîche ,sicherlîche ,sicherlîche ,sicherlîche ,sicherlîche ,sicherlîche ,sicherlîche ,sicherlîche ,
v_101 ,v_101 ,v_101 ,v_101 ,v_101 ,v_101 ,v_101 ,v_101 ,v_101 ,
,nieman ,nieman ,nieman ,nieman ,nieman ,nieman ,nieman ,nieman ,
,vergelten ,vergelten ,vergelten ,vergelten ,vergelten ,vergelten ,vergelten ,vergelten ,
,künde ,künde ,künde ,künde ,künde ,künde ,künde ,künde ,
v_102 ,v_102 ,v_102 ,v_102 ,v_102 ,v_102 ,v_102 ,v_102 ,v_102 ,
,ob ,ob ,ob ,ob ,ob ,ob ,der ,ob ,
,man ,man ,man ,man ,man ,man ,,man ,
,sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,
,,,,,,,joch ,,
,veile ,veile ,veile ,veile ,veile ,veile ,veile ,veile ,
,vünde ,vünde ,vünde ,vünde ,vünde ,vünde ,vünde ,vünde ,
v_103 ,v_103 ,v_103 ,v_103 ,v_103 ,v_103 ,v_103 ,v_103 ,v_103 ,
,von ,von ,von ,von ,von ,von ,von ,von ,
,Greifenberc ,Graveberc ,Grafenberc ,Gravenberc ,Gravenberc ,Gravenberc ,Gravenberc ,Gravenberc ,
,herr ,herr ,herr ,herr ,herr ,herr ,herr ,herr ,
,Werünt ,Wirint ,Wirinc ,Wirnt ,Wirn ,Wirnt ,Wirnt ,Wirnt ,
v_104 ,v_104 ,v_104 ,v_104 ,v_104 ,v_104 ,v_104 ,v_104 ,v_104 ,
,,der ,,,,,,,
,,erschrac ,erschrac ,erschrac ,erschrac ,erschrac ,erschrac ,erschrac ,
,von ,von ,von ,von ,von ,von ,gein ,von ,
,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
,erschrac ,,,,,,,,
,wol ,wol ,wol ,wol ,wol ,wol ,wol ,wol ,
,zwirnt ,zwirnt ,zwirnt ,zwirnt ,zwirnt ,zwirnt ,zwirnt ,zwirnt ,
v_105 ,v_105 ,v_105 ,v_105 ,v_105 ,v_105 ,v_105 ,v_105 ,v_105 ,
,dô ,dô ,dô ,dô ,dô ,dô ,dô ,dô ,
,sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,
,kam ,kam ,kam ,kam ,kam ,kam ,kam ,kam ,
,sô ,geslîchen ,geslîchen ,geslîchen ,geslîchen ,geslîchen ,geslîchen ,geslîchen ,
,griuwelich ,,,,,,,,
v_106 ,v_106 ,v_106 ,v_106 ,v_106 ,v_106 ,v_106 ,v_106 ,v_106 ,
,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,
,varwe ,varwe ,varwe ,varwe ,varwe ,varwe ,varwe ,varbe ,
,wart ,waz ,wart ,waz ,wart ,waz ,wart ,waz ,
,,,,im ,,im ,,in ,
,erblîchen ,erblîchen ,verblîchen ,erblîchen ,erblîchen ,erblîchen ,erblîchen ,erblîchen ,
v_107 ,v_107 ,v_107 ,v_107 ,v_107 ,v_107 ,v_107 ,v_107 ,v_107 ,
,sô ,vil ,vil ,und ,vil ,unde ,vil ,vil ,
,hart ,hart ,harte ,harte ,harte ,hart ,harte ,harte ,
,von ,von ,von ,von ,von ,von ,von ,von ,
,ir ,ir ,ir ,ir ,ir ,ir ,ir ,ir ,
,künfte ,künfte ,künfte ,künfte ,künfte ,künfte ,künfte ,künfte ,
,sô ,gar ,,,,,,,
,,da ,da ,dô ,da ,dô ,,da ,
v_108 ,v_108 ,v_108 ,v_108 ,v_108 ,v_108 ,v_108 ,v_108 ,v_108 ,
,des ,in ,in ,in ,in ,in ,in ,in ,
,nam ,nam ,nam ,nam ,nam ,nam ,nam ,nam ,
,in ,dez ,ez ,des ,des ,des ,dez ,des ,
,michel ,grôz ,michel ,michel ,grôz ,michel ,grôz ,michel ,
,under ,wunder ,wunder ,wunder ,wunder ,wunder ,wunder ,wunder ,
,dô ,sa ,sa ,sô ,sa ,sô ,,sa ,
v_109 ,v_109 ,v_109 ,v_109 ,v_109 ,v_109 ,v_109 ,v_109 ,v_109 ,
,waz ,waz ,wannan ,wannen ,waz ,wanne ,waz ,wanne ,
,vrouwen ,vrouwen ,die ,die ,vrouwen ,die ,vrouwen ,die ,
,alsô ,alsô ,vrouwe ,vrouwe ,alsô ,vrouwe ,alsô ,vrouwe ,
,kaeme ,kaeme ,kaeme ,kaeme ,kaeme ,kaeme ,kaeme ,kaeme ,
v_110 ,v_110 ,v_110 ,v_110 ,v_110 ,v_110 ,v_110 ,v_110 ,v_110 ,
,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,ûf ,
,spranc ,spranc ,spranc ,spranc ,spranc ,spranc ,spranc ,spranc ,
,der ,der ,der ,der ,der ,der ,der ,der ,
,,,vil ,vil ,vil ,vil ,vil ,vil ,
,genaeme ,genaeme ,genaeme ,genaeme ,genaeme ,genaeme ,genaeme ,genaeme ,
v_111 ,v_111 ,v_111 ,v_111 ,v_111 ,v_111 ,v_111 ,v_111 ,v_111 ,
,erschrocken ,erschrocken ,erschrocken ,erschrocken ,erschrocken ,erschrocken ,erschrocken ,erschrocken ,
,und ,und ,unde ,unde ,und ,und ,und ,und ,
,missevar ,missevar ,missevar ,missevar ,missevar ,missevar ,missevar ,missevar ,
v_112 ,v_112 ,v_112 ,v_112 ,v_112 ,v_112 ,v_112 ,v_112 ,v_112 ,
,und ,und ,er ,er ,und ,er ,und ,er ,
,enphinc ,enphinc ,enphinc ,enphinc ,enphinc ,enphinc ,enphinc ,enphinc ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,minneclichen ,minneclichen ,minneclichen ,minneclichen ,minnechlichen ,minneclichen ,minneclichen ,minneclichen ,
,gar ,gar ,gar ,gar ,gar ,gar ,gar ,gar ,
v_113 ,v_113 ,v_113 ,v_113 ,v_113 ,v_113 ,v_113 ,v_113 ,v_113 ,
,,,,,vil ,,vil ,,
,schoen ,schoen ,schoene ,schoen ,schoen ,schoen ,schoene ,schon ,
,als ,als ,als ,als ,als ,als ,als ,als ,
,er ,er ,er ,er ,er ,er ,er ,er ,
,wol ,wol ,wol ,wol ,wol ,wol ,,wol ,
,kunde ,kunde ,kunde ,kunde ,kunde ,kunde ,kunde ,kunde ,
v_114 ,v_114 ,v_114 ,v_114 ,v_114 ,v_114 ,v_114 ,v_114 ,v_114 ,
,er ,er ,er ,er ,er ,er ,er ,er ,
,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,sprach ,
,ûz ,ûz ,ûz ,ûz ,ûz ,ûz ,ûz ,ûz ,
,rotem ,süezem ,süezem ,süezem ,süezem ,süezem ,süezen ,süezen ,
,munde ,munde ,munde ,munde ,munde ,munde ,munde ,munde ,
v_115 ,v_115 ,v_115 ,v_115 ,v_115 ,v_115 ,v_115 ,v_115 ,v_115 ,
,,sint ,,,sît ,,sint ,,
,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,vrouwe ,
,sît ,,sît ,sît ,,sît ,,sît ,
,mir ,got ,got ,got ,got ,got ,gotwille ,got ,
,willekomen ,gotwillkomen ,willekommen ,willekomen ,willekomen ,willekomen ,willekomen ,willekomen ,
v_116 ,v_116 ,v_116 ,v_116 ,v_116 ,v_116 ,v_116 ,v_116 ,v_116 ,
,waz ,waz ,waz ,swaz ,swaz ,swaz ,swaz ,swaz ,
,ich ,ich ,ich ,ich ,ich ,ich ,ich ,ich ,
,von ,von ,von ,von ,von ,von ,von ,von ,
,vrouwen ,vrouwen ,wîben ,wîben ,vrouwen ,wîben ,vrouwen ,wîben ,
,hân ,hân ,hân ,hân ,hân ,hân ,hân ,hân ,
,vernomen ,vernomen ,vernomen ,vernomen ,vernomen ,vernomen ,vernomen ,vernomen ,
